"capture_time","hostname","unraid_slot","slot_source","device","kernel_name","size_bytes","model","serial","firmware","transport","rota","type","by_id","smart_model","smart_serial"
"2026-03-28T10:27:55-05:00","Caladan","disk1","disks.ini:device","/dev/sdb","sdb","10000831348736","WDC WD102KRYZ-01A5AB0","VCHHBT8P","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","disk4","disks.ini:device","/dev/sdc","sdc","10000831348736","WDC WD102KRYZ-01A5AB0","VCHPKMGP","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","parity","disks.ini:device","/dev/sdd","sdd","12000138625024","ST12000NM0008-2H3101","ZL0016LC","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","disk5","disks.ini:device","/dev/sde","sde","12000138625024","HGST HUH721212ALN600","5QJ3M3LB","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","parity2","disks.ini:device","/dev/sdf","sdf","12000138625024","ST12000NM001G-2MV103","ZL2HXH4H","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","disk6","disks.ini:device","/dev/sdg","sdg","12000138625024","WDC WD120EFBX-68B0EN0","5QH2ZVMF","","sata","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","disk3","disks.ini:device","/dev/sdh","sdh","12000138625024","HUH721212AL5204","5PH92NMF","","sas","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","disk2","disks.ini:device","/dev/sdi","sdi","12000138625024","HUH721212AL5200","5PKBNJYF","","sas","1","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","cache2","disks.ini:device","/dev/nvme0n1","nvme0n1","1000204886016","Samsung SSD 970 EVO Plus 1TB","S59ANM0T104533W","","nvme","0","disk","","",""
"2026-03-28T10:27:55-05:00","Caladan","cache","disks.ini:device","/dev/nvme1n1","nvme1n1","1000204886016","Samsung SSD 970 EVO Plus 1TB","S59ANS0N701075P","","nvme","0","disk","","",""
